,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,new_positive_cases,new_deaths,total_hospitalized,intensive_care,total_currently_positive_per_100k,ncumul_ICU_intub,deaths_per_100k,released,deaths,ncumul_vent,ncumul_confirmed_non_resident,current_hosp_non_resident,ncumul_ICF,ncumul_deceased_suspect,TotalPosTests1,ninst_ICU_intub,source,doubling_time_total_positive,doubling_time_fatalities
161,2020-04-19 21:59:12,2020-03-11 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,37,37,,0,0,6,1,20.79,0,,,,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,3.313423,0.0
175,2020-04-19 21:59:12,2020-03-12 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,46,46,,0,0,6,1,25.84,0,,,,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,3.693753,0.0
188,2020-04-19 21:59:12,2020-03-13 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,59,59,,0,0,9,1,33.15,0,,,,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,3.853028,0.0
203,2020-04-19 21:59:12,2020-03-14 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,68,68,,0,0,10,1,38.2,0,,,,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,3.752133,0.0
215,2020-04-19 21:59:12,2020-03-15 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,74,74,,0,0,9,1,41.57,0,,,,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,3.983248,0.0
229,2020-04-19 21:59:12,2020-03-16 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,93,93,,0,0,13,2,52.25,0,,,,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,3.760231,0.0
245,2020-04-19 21:59:12,2020-03-17 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,114,114,,0,0,16,4,64.04,0,0.562,,1,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,3.818753,0.0
263,2020-04-19 21:59:12,2020-03-18 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,146,146,,0,0,18,3,82.02,0,1.124,,2,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,3.825024,0.0
282,2020-04-19 21:59:12,2020-03-19 02:00:00,,NE,Neuchâtel,24,46.995534,6.780126,175,175,,0,0,19,3,98.31,0,1.685,,3,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,3.666366,0.0
301,2020-04-19 21:59:12,2020-03-20 15:00:00,,NE,Neuchâtel,24,46.995534,6.780126,189,189,,0,0,21,4,106.18,0,1.685,,3,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,3.696068,0.0
323,2020-04-19 21:59:12,2020-03-21 14:30:00,,NE,Neuchâtel,24,46.995534,6.780126,200,200,,0,0,20,5,112.36,0,2.247,,4,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,4.526126,0.0
341,2020-04-19 21:59:12,2020-03-22 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,216,216,,0,0,28,6,121.35,0,2.247,,4,,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,5.423008,2.5
358,2020-04-19 21:59:12,2020-03-23 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,247,247,,0,0,33,11,138.76,0,2.809,,5,6,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,6.591587,3.782354
384,2020-04-19 21:59:12,2020-03-24 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,265,265,,0,0,32,8,148.88,0,3.371,,6,6,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,8.352301,5.0
409,2020-04-19 21:59:12,2020-03-25 13:00:00,,NE,Neuchâtel,24,46.995534,6.780126,280,280,,0,0,41,10,157.3,0,5.056,,9,7,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,8.817711,3.154649
435,2020-04-19 21:59:12,2020-03-26 13:30:00,,NE,Neuchâtel,24,46.995534,6.780126,299,299,,0,0,42,9,167.98,0,6.742,,12,7,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,8.618528,3.154649
462,2020-04-19 21:59:12,2020-03-27 13:00:00,,NE,Neuchâtel,24,46.995534,6.780126,316,316,,0,0,45,9,177.53,0,7.303,,13,7,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,9.109239,2.940416
486,2020-04-19 21:59:12,2020-03-28 13:00:00,,NE,Neuchâtel,24,46.995534,6.780126,337,337,,0,0,50,11,189.33,0,8.427,,15,8,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,11.1548,3.154649
507,2020-04-19 21:59:12,2020-03-29 12:00:00,,NE,Neuchâtel,24,46.995534,6.780126,346,346,,0,0,60,16,194.38,0,10.112,,18,6,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,12.994449,3.154649
532,2020-04-19 21:59:12,2020-03-30 12:00:00,,NE,Neuchâtel,24,46.995534,6.780126,378,378,,0,0,57,12,212.36,0,11.798,,21,6,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,11.548427,4.090339
558,2020-04-19 21:59:12,2020-03-31 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,402,402,,0,0,59,14,225.84,0,12.921,,23,8,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,11.70823,5.327086
584,2020-04-19 21:59:12,2020-04-01 04:00:00,,NE,Neuchâtel,24,46.995534,6.780126,420,420,,0,0,66,14,235.96,0,14.045,,25,8,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,12.181313,5.299886
611,2020-04-19 21:59:12,2020-04-02 10:00:00,,NE,Neuchâtel,24,46.995534,6.780126,430,430,,0,0,61,12,241.57,0,15.73,,28,10,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,14.221188,5.552691
638,2020-04-19 21:59:12,2020-04-03 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,444,444,,0,0,61,11,249.44,0,16.292,,29,9,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,13.897087,7.26685
662,2020-04-19 21:59:12,2020-04-04 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,452,452,,0,0,59,10,253.93,0,17.416,,31,9,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,19.384613,8.898715
685,2020-04-19 21:59:12,2020-04-05 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,464,464,,0,0,58,12,260.67,0,17.416,,31,8,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,24.162842,11.610778
709,2020-04-19 21:59:12,2020-04-06 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,488,488,,0,0,59,10,274.16,0,19.101,,34,8,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,23.095561,11.271247
736,2020-04-19 21:59:12,2020-04-07 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,513,513,,0,0,64,10,288.2,0,20.225,,36,5,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,19.636939,13.790437
762,2020-04-19 21:59:12,2020-04-08 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,518,518,,0,0,63,10,291.01,0,21.91,,39,7,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,22.482781,11.698062
788,2020-04-19 21:59:12,2020-04-09 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,550,550,,0,0,58,10,308.99,0,22.472,,40,7,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,17.661052,13.596867
813,2020-04-19 21:59:12,2020-04-10 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,570,570,,0,0,63,11,320.22,0,22.472,,40,8,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,16.844255,13.596867
839,2020-04-19 21:59:12,2020-04-11 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,579,579,,0,0,64,11,325.28,0,23.596,,42,9,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,20.268994,16.401262
862,2020-04-19 21:59:12,2020-04-12 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,589,589,,0,0,67,10,330.9,0,25.843,,46,10,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,25.086699,14.138794
888,2020-04-19 21:59:12,2020-04-13 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,595,595,,0,0,67,10,334.27,0,26.404,,47,10,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,25.007806,18.574474
913,2020-04-19 21:59:12,2020-04-14 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,606,606,,0,0,60,11,340.45,0,26.966,,48,10,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,35.743346,19.00892
940,2020-04-19 21:59:12,2020-04-15 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,615,615,,0,0,54,12,345.51,0,26.966,,48,10,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,45.610246,19.00892
967,2020-04-19 21:59:12,2020-04-16 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,626,626,,0,0,52,11,351.69,0,26.966,,48,9,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,44.405246,25.954465
993,2020-04-19 21:59:12,2020-04-17 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,636,636,,0,0,44,10,357.3,0,28.09,,50,8,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,45.143005,41.564752
1015,2020-04-19 21:59:12,2020-04-18 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,636,636,,0,0,44,10,357.3,0,28.09,,50,8,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,52.009059,56.011528
1036,2020-04-19 21:59:12,2020-04-19 14:00:00,,NE,Neuchâtel,24,46.995534,6.780126,636,636,,0,0,43,9,357.3,0,28.09,,50,4,,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Documents/Covid-19-Statistiques/COVID19_PublicationInternet.pdf,71.726779,84.89874
